Maker,Model
Flight Design,CTSW
Cessna,182 Skylane
ПО,2
АК,1-3
Поиск,04
Арго-02,SL
МИ,2
АН,2
Quicksilver,MXL
Hi-Max,1700R
Let,Z-37
ЯК,40
Aero Vodochody,Aqua Aero
Aero Vodochody,L-39 Albatros
Aeros,2
Бекас,Х-32
Avid Flyer,STOL Heavy Hauler
